hero_id,hero_name,total_games,wins,winrate,winrate_pct,picks,pickrate,pickrate_pct
14,Pudge,697,359,51.51,51.51%,697,25.42,25.42%
26,Lion,690,319,46.23,46.23%,690,25.16,25.16%
8,Juggernaut,596,293,49.16,49.16%,596,21.74,21.74%
35,Sniper,535,287,53.64,53.64%,535,19.51,19.51%
30,Witch Doctor,520,270,51.92,51.92%,520,18.96,18.96%
21,Windranger,507,245,48.32,48.32%,507,18.49,18.49%
1,Anti-Mage,498,255,51.2,51.2%,498,18.16,18.16%
2,Axe,470,225,47.87,47.87%,470,17.14,17.14%
53,Nature's Prophet,468,243,51.92,51.92%,468,17.07,17.07%
74,Invoker,467,235,50.32,50.32%,467,17.03,17.03%
104,Legion Commander,467,225,48.18,48.18%,467,17.03,17.03%
86,Rubick,465,237,50.97,50.97%,465,16.96,16.96%
84,Ogre Magi,440,217,49.32,49.32%,440,16.05,16.05%
40,Venomancer,428,218,50.93,50.93%,428,15.61,15.61%
64,Jakiro,427,211,49.41,49.41%,427,15.57,15.57%
39,Queen of Pain,403,204,50.62,50.62%,403,14.7,14.7%
70,Ursa,402,193,48.01,48.01%,402,14.66,14.66%
7,Earthshaker,400,227,56.75,56.75%,400,14.59,14.59%
27,Shadow Shaman,372,184,49.46,49.46%,372,13.57,13.57%
36,Necrophos,372,178,47.85,47.85%,372,13.57,13.57%
11,Shadow Fiend,369,189,51.22,51.22%,369,13.46,13.46%
101,Skywrath Mage,363,175,48.21,48.21%,363,13.24,13.24%
105,Techies,361,190,52.63,52.63%,361,13.17,13.17%
49,Dragon Knight,354,166,46.89,46.89%,354,12.91,12.91%
128,Snapfire,353,178,50.42,50.42%,353,12.87,12.87%
31,Lich,338,170,50.3,50.3%,338,12.33,12.33%
71,Spirit Breaker,336,183,54.46,54.46%,336,12.25,12.25%
47,Viper,326,157,48.16,48.16%,326,11.89,11.89%
22,Zeus,326,156,47.85,47.85%,326,11.89,11.89%
63,Weaver,325,164,50.46,50.46%,325,11.85,11.85%
123,Hoodwink,313,150,47.92,47.92%,313,11.42,11.42%
75,Silencer,300,144,48.0,48.0%,300,10.94,10.94%
129,Mars,296,164,55.41,55.41%,296,10.8,10.8%
42,Wraith King,293,137,46.76,46.76%,293,10.69,10.69%
44,Phantom Assassin,290,147,50.69,50.69%,290,10.58,10.58%
28,Slardar,286,143,50.0,50.0%,286,10.43,10.43%
97,Magnus,283,128,45.23,45.23%,283,10.32,10.32%
6,Drow Ranger,254,123,48.43,48.43%,254,9.26,9.26%
12,Phantom Lancer,251,119,47.41,47.41%,251,9.15,9.15%
20,Vengeful Spirit,243,118,48.56,48.56%,243,8.86,8.86%
41,Faceless Void,240,118,49.17,49.17%,240,8.75,8.75%
98,Timbersaw,236,120,50.85,50.85%,236,8.61,8.61%
5,Crystal Maiden,235,132,56.17,56.17%,235,8.57,8.57%
94,Medusa,234,117,50.0,50.0%,234,8.53,8.53%
54,Lifestealer,232,114,49.14,49.14%,232,8.46,8.46%
25,Lina,230,124,53.91,53.91%,230,8.39,8.39%
102,Abaddon,225,109,48.44,48.44%,225,8.21,8.21%
93,Slark,218,100,45.87,45.87%,218,7.95,7.95%
85,Undying,216,104,48.15,48.15%,216,7.88,7.88%
135,Dawnbreaker,216,124,57.41,57.41%,216,7.88,7.88%
13,Puck,214,111,51.87,51.87%,214,7.8,7.8%
87,Disruptor,212,104,49.06,49.06%,212,7.73,7.73%
68,Ancient Apparition,212,116,54.72,54.72%,212,7.73,7.73%
17,Storm Spirit,211,112,53.08,53.08%,211,7.7,7.7%
37,Warlock,202,99,49.01,49.01%,202,7.37,7.37%
72,Gyrocopter,194,88,45.36,45.36%,194,7.08,7.08%
59,Huskar,192,94,48.96,48.96%,192,7.0,7.0%
18,Sven,192,86,44.79,44.79%,192,7.0,7.0%
48,Luna,188,106,56.38,56.38%,188,6.86,6.86%
46,Templar Assassin,187,96,51.34,51.34%,187,6.82,6.82%
50,Dazzle,186,86,46.24,46.24%,186,6.78,6.78%
136,Marci,180,79,43.89,43.89%,180,6.56,6.56%
96,Centaur Warrunner,179,98,54.75,54.75%,179,6.53,6.53%
67,Spectre,176,95,53.98,53.98%,176,6.42,6.42%
114,Monkey King,162,71,43.83,43.83%,162,5.91,5.91%
45,Pugna,162,87,53.7,53.7%,162,5.91,5.91%
10,Morphling,158,78,49.37,49.37%,158,5.76,5.76%
88,Nyx Assassin,157,77,49.04,49.04%,157,5.73,5.73%
111,Oracle,155,74,47.74,47.74%,155,5.65,5.65%
119,Dark Willow,154,82,53.25,53.25%,154,5.62,5.62%
137,Primal Beast,152,74,48.68,48.68%,152,5.54,5.54%
16,Sand King,152,73,48.03,48.03%,152,5.54,5.54%
76,Outworld Devourer,149,75,50.34,50.34%,149,5.43,5.43%
34,Tinker,147,66,44.9,44.9%,147,5.36,5.36%
109,Terrorblade,146,80,54.79,54.79%,146,5.32,5.32%
9,Mirana,142,76,53.52,53.52%,142,5.18,5.18%
106,Ember Spirit,141,63,44.68,44.68%,141,5.14,5.14%
52,Leshrac,140,66,47.14,47.14%,140,5.11,5.11%
73,Alchemist,138,62,44.93,44.93%,138,5.03,5.03%
51,Clockwerk,138,72,52.17,52.17%,138,5.03,5.03%
99,Bristleback,134,59,44.03,44.03%,134,4.89,4.89%
29,Tidehunter,133,72,54.14,54.14%,133,4.85,4.85%
100,Tusk,133,76,57.14,57.14%,133,4.85,4.85%
121,Grimstroke,132,67,50.76,50.76%,132,4.81,4.81%
126,Void Spirit,131,60,45.8,45.8%,131,4.78,4.78%
81,Chaos Knight,130,62,47.69,47.69%,130,4.74,4.74%
19,Tiny,126,68,53.97,53.97%,126,4.6,4.6%
62,Bounty Hunter,124,72,58.06,58.06%,124,4.52,4.52%
112,Winter Wyvern,121,65,53.72,53.72%,121,4.41,4.41%
95,Troll Warlord,121,54,44.63,44.63%,121,4.41,4.41%
56,Clinkz,121,71,58.68,58.68%,121,4.41,4.41%
38,Beastmaster,120,65,54.17,54.17%,120,4.38,4.38%
110,Phoenix,118,59,50.0,50.0%,118,4.3,4.3%
15,Razor,115,62,53.91,53.91%,115,4.19,4.19%
32,Riki,114,50,43.86,43.86%,114,4.16,4.16%
145,Kez,106,54,50.94,50.94%,106,3.87,3.87%
23,Kunkka,105,54,51.43,51.43%,105,3.83,3.83%
60,Night Stalker,101,51,50.5,50.5%,101,3.68,3.68%
83,Treant Protector,100,44,44.0,44.0%,100,3.65,3.65%
131,Ring Master,100,46,46.0,46.0%,100,3.65,3.65%
91,Io,97,48,49.48,49.48%,97,3.54,3.54%
61,Broodmother,97,58,59.79,59.79%,97,3.54,3.54%
138,Muerta,96,52,54.17,54.17%,96,3.5,3.5%
33,Enigma,88,39,44.32,44.32%,88,3.21,3.21%
4,Bloodseeker,86,33,38.37,38.37%,86,3.14,3.14%
79,Shadow Demon,85,37,43.53,43.53%,85,3.1,3.1%
43,Death Prophet,85,42,49.41,49.41%,85,3.1,3.1%
58,Enchantress,83,45,54.22,54.22%,83,3.03,3.03%
120,Pangolier,82,42,51.22,51.22%,82,2.99,2.99%
107,Earth Spirit,82,41,50.0,50.0%,82,2.99,2.99%
3,Bane,80,41,51.25,51.25%,80,2.92,2.92%
113,Arc Warden,80,35,43.75,43.75%,80,2.92,2.92%
69,Doom,78,37,47.44,47.44%,78,2.84,2.84%
57,Omniknight,78,39,50.0,50.0%,78,2.84,2.84%
108,Underlord,67,34,50.75,50.75%,67,2.44,2.44%
90,Keeper of the Light,66,33,50.0,50.0%,66,2.41,2.41%
82,Meepo,62,31,50.0,50.0%,62,2.26,2.26%
77,Lycan,58,28,48.28,48.28%,58,2.12,2.12%
65,Batrider,54,26,48.15,48.15%,54,1.97,1.97%
80,Lone Druid,51,24,47.06,47.06%,51,1.86,1.86%
92,Visage,41,20,48.78,48.78%,41,1.5,1.5%
89,Naga Siren,41,22,53.66,53.66%,41,1.5,1.5%
55,Dark Seer,39,24,61.54,61.54%,39,1.42,1.42%
103,Elder Titan,27,12,44.44,44.44%,27,0.98,0.98%
78,Brewmaster,25,13,52.0,52.0%,25,0.91,0.91%
66,Chen,17,8,47.06,47.06%,17,0.62,0.62%
